﻿OLMC,cdname,cduid,csd_census_pop,sh_csd_census_pop,csd_ps_pop,sh_csd_ps_pop,csd_appl,sh_csd_appl,OLMC_census_pop,sh_OLMC_census_pop,OLMC_ps_pop,sh_OLMC_ps_pop,OLMC_appl,sh_OLMC_appl,CAN_census_pop,sh_CAN_census_pop,CAN_ps_pop,sh_CAN_ps_pop,CAN_appl,sh_CAN_appl,FOL_csd_census_pop,sh_FOL_csd_census_pop,FOL_csd_ps_pop,sh_FOL_csd_ps_pop,FOL_csd_appl,sh_FOL_csd_appl,FOL_OLMC_census_pop,sh_FOL_OLMC_census_pop,FOL_OLMC_ps_pop,sh_FOL_OLMC_ps_pop,FOL_OLMC_appl,sh_FOL_OLMC_appl,FOL_CAN_census_pop,sh_FOL_CAN_census_pop,FOL_CAN_ps_pop,sh_FOL_CAN_ps_pop,FOL_CAN_appl,sh_FOL_CAN_appl
N/A,Division No.  8,4608,445,5%,0,0%,3,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,225,3%,0,0%,2,8%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  9,4609,1200,8%,2,13%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,510,3%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 10,4610,945,12%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,405,5%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Winnipeg Area,Division No. 11,4611,47505,10%,415,9%,1582,17%,56515,11%,417,9%,1709,18%,4948830,21%,77529,44%,140643,40%,15785,3%,171,4%,353,4%,21380,4%,172,4%,396,4%,1607390,7%,37000,21%,36077,10%
N/A,Division No. 12,4612,1280,8%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,355,2%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 13,4613,1960,6%,0,0%,56,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,410,1%,0,0%,2,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 14,4614,515,4%,1,0%,12,6%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,160,1%,3,1%,2,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 15,4615,600,5%,0,0%,6,10%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,210,2%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 16,4616,170,3%,0,0%,2,10%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,55,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 17,4617,770,6%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,270,2%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 18,4618,650,5%,0,0%,10,11%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,310,2%,0,0%,3,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
